"id","pole_code","latitude","longitude","city","district","neighborhood","street","sequence_no","pole_type","direction_type","arm_type","status"
"9768b7d7-a18f-4ec5-b12e-a6e1149e8fb2","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0019","40.29776","36.55348","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","19","NORMAL","TEK_YONLU","L","AVAILABLE"
"99d37092-0679-4703-9ab8-8e9bae729754","TOKAT-PERAKENDE-BEHZAT-BULVARI-0018","40.29656","36.553254","Tokat","Perakende Mahallesi","Perakende","Behzat Bulvarı","18","NORMAL","TEK_YONLU","L","AVAILABLE"
"99f500b6-e298-45c5-bd0f-9976d6d4a000","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0006","40.301178","36.555216","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","6","NORMAL","TEK_YONLU","L","AVAILABLE"
"9b66909b-7b9b-45ca-a961-e358a5384331","TOKAT-KEMER-BEHZAT-BULVARI-0007","40.292307","36.552039","Tokat","Kemer Mahallesi","Kemer","Behzat Bulvarı","7","NORMAL","TEK_YONLU","L","AVAILABLE"
"9bf336bf-16e5-4001-981f-131899aa7c2c","TOKAT-SOGUKPINAR-BEHZAT-BULVARI-0006","40.305485","36.555411","Tokat","Soğukpınar Mahallesi","Soğukpınar","Behzat Bulvarı","6","NORMAL","TEK_YONLU","L","AVAILABLE"
"9c18c9e9-ce13-4994-99dc-3ee9b11320f4","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0011","40.299684","36.554641","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","11","NORMAL","TEK_YONLU","L","AVAILABLE"
"9c231a21-6c2e-465c-9cc1-a06fb13fd3e0","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0030","40.30062","36.55546","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","30","NORMAL","TEK_YONLU","L","AVAILABLE"
"9dedc49e-ed12-407e-bd11-bf9c918b7f74","TOKAT-KEMER-BEHZAT-BULVARI-0002","40.293958","36.552956","Tokat","Kemer Mahallesi","Kemer","Behzat Bulvarı","2","NORMAL","TEK_YONLU","L","AVAILABLE"
"9f3e56c1-fe8a-499c-a711-239587aae7de","TOKAT-SOGUKPINAR-BEHZAT-BULVARI-0002","40.304287","36.554537","Tokat","Soğukpınar Mahallesi","Soğukpınar","Behzat Bulvarı","2","NORMAL","TEK_YONLU","L","AVAILABLE"
"a5517e02-b90a-4e46-ba18-91fc15c98777","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0033","40.302165","36.555489","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","33","NORMAL","TEK_YONLU","L","AVAILABLE"
"a5581446-a9bf-4ea4-8b4a-1c3d7e00d8f3","TOKAT-PERAKENDE-0002","40.292656","36.552488","Tokat","Perakende Mahallesi","Perakende","Perakende Civari","2","NORMAL","TEK_YONLU","L","AVAILABLE"
"a7ddde01-b6fc-4151-98ea-60005a03898f","TOKAT-DOGUKENT-0005","40.330136","36.566584","Tokat","Doğukent Mahallesi","Doğukent","Doğukent Civari","5","NORMAL","TEK_YONLU","L","AVAILABLE"
"a8ec2ff9-2b8b-47a4-a398-dd9bfa4f2464","TOKAT-DOGUKENT-0003","40.329934","36.566096","Tokat","Doğukent Mahallesi","Doğukent","Doğukent Civari","3","NORMAL","TEK_YONLU","T","AVAILABLE"
"a999b08b-0739-4bc7-9bc6-0c0ecdb7f873","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0012","40.299398","36.554599","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","12","NORMAL","TEK_YONLU","L","AVAILABLE"
"ab3f182a-a51c-44c3-9498-e93086eb8fc1","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0009","40.300353","36.554963","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","9","NORMAL","TEK_YONLU","L","AVAILABLE"
"acbc7b86-dc62-4542-a0b4-ca3e4653558e","TOKAT-SOGUKPINAR-BEHZAT-BULVARI-0008","40.306332","36.555365","Tokat","Soğukpınar Mahallesi","Soğukpınar","Behzat Bulvarı","8","NORMAL","TEK_YONLU","L","AVAILABLE"
"b32cb553-732b-4277-b1d5-24a338347e37","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0007","40.300869","36.555135","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","7","NORMAL","TEK_YONLU","L","AVAILABLE"
"b4838948-aa3c-4bff-8f07-9acd1ffe92cd","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0013","40.299136","36.554439","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","13","NORMAL","TEK_YONLU","L","AVAILABLE"
"b67cd794-73cd-49ab-a495-9ad320c9c2e0","TOKAT-SOGUKPINAR-GAZIOSMANPASA-BULVARI-0001","40.303451","36.554404","Tokat","Soğukpınar Mahallesi","Soğukpınar","Gaziosmanpaşa Bulvarı","1","NORMAL","TEK_YONLU","L","AVAILABLE"
"b73fbf66-7a34-4fed-9237-bb83a4dd93a1","TOKAT-SOGUKPINAR-BEHZAT-BULVARI-0011","40.307609","36.554428","Tokat","Soğukpınar Mahallesi","Soğukpınar","Behzat Bulvarı","11","NORMAL","TEK_YONLU","L","AVAILABLE"
"b8b0233e-8526-4b2d-9a9c-24ca62a47f61","TOKAT-DOGUKENT-0004","40.32998","36.566244","Tokat","Doğukent Mahallesi","Doğukent","Doğukent Civari","4","NORMAL","TEK_YONLU","L","AVAILABLE"
"c076708b-9584-468b-b6be-1e849c032383","TOKAT-MAHMUTPASA-BEHZAT-BULVARI-0002","40.303041","36.554547","Tokat","Mahmutpaşa Mahallesi","Mahmutpaşa","Behzat Bulvarı","2","NORMAL","TEK_YONLU","L","AVAILABLE"
"c0b22a30-c0ec-4c0c-ae4d-ba188cac6ad0","TOKAT-PERAKENDE-BEHZAT-BULVARI-0009","40.293769","36.553379","Tokat","Perakende Mahallesi","Perakende","Behzat Bulvarı","9","NORMAL","TEK_YONLU","L","AVAILABLE"
"c699a5b6-c352-4b34-887f-49590b9aa795","TOKAT-KEMER-0001","40.292822","36.552634","Tokat","Kemer Mahallesi","Kemer","Kemer Civari","1","NORMAL","TEK_YONLU","L","AVAILABLE"
